"Name","LastWriteTime"
"20260304013331_PendingModelChanges.cs","04/03/2026 08:33:31"
"20260303055327_EnterpriseSecurityFeatures.cs","03/03/2026 12:53:27"
"20260303005955_PendingModelSync.cs","03/03/2026 07:59:55"
"20260302014549_AddAdvancedSecurityEntities.cs","02/03/2026 08:45:49"
"20260301000108_AddSecretRotationSchedule.cs","01/03/2026 07:01:08"
"20260301000030_AddSecurityEvents.cs","01/03/2026 07:00:30"
"20260228090605_AddEncryptionConfigAndFieldAccessPolicy.cs","28/02/2026 16:06:05"
"20260228070549_AddVaultTables.cs","28/02/2026 14:05:50"
"20260228041526_AddKeyVaultAndZeroTrust.cs","28/02/2026 11:15:26"
"20260228005136_AddEnterpriseCaFeatures.cs","28/02/2026 07:51:36"
"20260227083428_AddCertDeploymentLog.cs","27/02/2026 15:34:28"
"20260227072232_AddCertificateAuthority.cs","27/02/2026 14:22:32"
"20260227025853_AddCloudReplicationConfig.cs","27/02/2026 09:58:53"
"20260226071923_AddDataBackupStrategies.cs","26/02/2026 14:19:23"
"20260226053157_AddCloudBackupConfig.cs","26/02/2026 12:31:57"
"20260226044754_AddCloudBackupColumns.cs","26/02/2026 11:47:54"
"20260226041817_AddBackupTables.cs","26/02/2026 11:18:17"
"20260221011246_RenamePermissionToPermissionCode.cs","21/02/2026 08:12:46"
"20260221001030_AddPermissionDefinitions.cs","21/02/2026 07:10:30"
"20260220165152_AddUserSignatureConfiguration.cs","20/02/2026 23:51:52"
"20260220032854_AddFormTemplateCode.cs","20/02/2026 10:35:37"
"20260219152235_AddDocumentSignaturesAndPatientDocuments.cs","19/02/2026 22:22:35"
"20260211072315_AddUserSignatures.cs","11/02/2026 14:23:15"
"20260210033154_Normalize1NF.cs","10/02/2026 11:26:40"
"20260210022041_PerformanceIndexes.cs","10/02/2026 09:20:42"
"20260210011127_NormalizePostgresSchema.cs","10/02/2026 08:49:12"
"20260204010615_InitialCreate.cs","04/02/2026 08:06:15"
