"Project","Package","Version"
"IVF.Infrastructure","AWSSDK.S3","3.7.412.3"
"IVF.Infrastructure","Azure.Storage.Blobs","12.23.0"
"IVF.API","BCrypt.Net-Next","4.0.3"
"IVF.Infrastructure","Fido2.AspNet","4.0.0-beta.24"
"IVF.API","FluentValidation.AspNetCore","11.3.0"
"IVF.Application","FluentValidation.DependencyInjectionExtensions","12.1.1"
"IVF.Infrastructure","Google.Cloud.Storage.V1","4.10.0"
"IVF.Application","MediatR","12.5.0"
"IVF.API","Microsoft.AspNetCore.Authentication.JwtBearer","10.0.2"
"IVF.Infrastructure","Microsoft.AspNetCore.Http.Abstractions","2.2.0"
"IVF.API","Microsoft.AspNetCore.OpenApi","10.0.0"
"IVF.FingerprintClient","Microsoft.AspNetCore.SignalR.Client","10.0.2"
"IVF.API","Microsoft.EntityFrameworkCore","10.0.0"
"IVF.API","Microsoft.EntityFrameworkCore.Design","10.0.0"
"IVF.Infrastructure","Microsoft.Extensions.Caching.StackExchangeRedis","10.0.2"
"IVF.Infrastructure","Microsoft.Extensions.Configuration.Binder","10.0.0"
"IVF.Infrastructure","Microsoft.Extensions.Hosting.Abstractions","10.0.0"
"IVF.Application","Microsoft.Extensions.Logging.Abstractions","9.0.0"
"IVF.Infrastructure","Microsoft.Extensions.Options.ConfigurationExtensions","10.0.0"
"IVF.Infrastructure","Minio","6.0.4"
"IVF.Infrastructure","Npgsql.EntityFrameworkCore.PostgreSQL","10.0.0"
"IVF.Infrastructure","Otp.NET","1.4.0"
"IVF.API","QuestPDF","2025.12.4"
"IVF.API","Swashbuckle.AspNetCore","10.1.1"
"IVF.FingerprintClient","System.Net.Http.Json","10.0.2"
"IVF.Gateway","Yarp.ReverseProxy","2.3.0"
